file_in,url
10.1017_pan.2017.42,10.7910/DVN/SKGWTS
10.1017_pan.2017.43,10.7910/DVN/S9G9XS
10.1017_pan.2017.45,10.7910/DVN/WM3X3D
10.1017_pan.2017.5,10.7910/DVN/JDPNNU
10.1017_pan.2017.5,10.7910/DVN/THDBRA
10.1017_pan.2017.5,10.7910/DVN/GTSXC1
10.1017_pan.2017.6,10.7910/DVN/KKWB4A
10.1017_pan.2017.7,10.7910/DVN/AKHHHF
10.1017_pan.2018.1,10.7910/DVN/52UGJT
10.1017_pan.2018.10,10.7910/DVN/W4TXDU
10.1017_pan.2018.12,10.7910/DVN/R7AQT1
10.1017_pan.2018.13,10.7910/DVN/9YCVJC
10.1017_pan.2018.17,10.7910/DVN/RAUIHG
10.1017_pan.2018.18,10.7910/DVN/NDTR8K
10.1017_pan.2018.19,10.7910/DVN/KHE44F
10.1017_pan.2018.2,10.7910/DVN/KUMMUJ
10.1017_pan.2018.20,10.7910/DVN/TWHEZ9
10.1017_pan.2018.21,10.7910/DVN/TGFAOH
10.1017_pan.2018.24,10.7910/DVN/PCYBPY
10.1017_pan.2018.26,10.7910/DVN/VKMY6N
10.1017_pan.2018.28,10.7910/DVN/KGP01E
10.1017_pan.2018.29,10.7910/DVN/AOY452
10.1017_pan.2018.30,10.7910/DVN/0ZCBTB
10.1017_pan.2018.31,10.7910/DVN/LD0ITE
10.1017_pan.2018.32,10.7910/DVN/A47LUM
10.1017_pan.2018.33,10.7910/DVN/CYYLOK
10.1017_pan.2018.35,10.7910/DVN/ICTG9Z
10.1017_pan.2018.36,10.7910/DVN/NQVP7K
10.1017_pan.2018.39,10.7910/DVN/Y9KMJW
10.1017_pan.2018.41,10.7910/DVN/VFDCJV
10.1017_pan.2018.43,10.7910/DVN/KRKWK8
10.1017_pan.2018.46,10.7910/DVN/Q1V0OG
10.1017_pan.2018.47,10.7910/DVN/JFU71R
10.1017_pan.2018.48,10.7910/DVN/3IWTGB
10.1017_pan.2018.49,10.7910/DVN/MLYNX0
10.1017_pan.2018.50,10.7910/DVN/H31DZG
10.1017_pan.2018.53,10.7910/DVN/BPU1XG
10.1017_pan.2018.54,10.7910/DVN/J7HFRX
10.1017_pan.2018.54,10.7910/DVN/ADJWFS
10.1017_pan.2018.55,10.7910/DVN/KT20FE
10.1017_pan.2018.56,10.7910/DVN/L3GWNP
10.1017_pan.2018.57,10.7910/DVN/TUUYLQ
10.1017_pan.2018.57,10.7910/DVN/PZKBUX
10.1017_pan.2018.58,10.7910/DVN/ILTOGF
10.1017_pan.2018.59,10.7910/DVN/JJCXTH
10.1017_pan.2018.63,10.7910/DVN/HCSQBD
10.1017_pan.2018.7,10.7910/DVN/AGUVBE
10.1017_pan.2018.8,10.7910/DVN/OZ6VYD
10.1017_pan.2018.9,10.7910/DVN/KVZXE8
10.1017_pan.2019.1,10.7910/DVN/SSLCFF
10.1017_pan.2019.10,10.7910/DVN/GM5SYQ
10.1017_pan.2019.11,10.7910/DVN/A9LZNV
10.1017_pan.2019.12,10.7910/DVN/NAJIKB
10.1017_pan.2019.13,10.7910/DVN/WB9XLZ
10.1017_pan.2019.14,10.7910/DVN/DKY4DY
10.1017_pan.2019.18,10.7910/DVN/TBW4Y4
10.1017_pan.2019.19,10.7910/DVN/W7KZVL
10.1017_pan.2019.19,10.7910/DVN/8TB7GO
10.1017_pan.2019.2,10.7910/DVN/HHOIA4
10.1017_pan.2019.20,10.7910/DVN/SVAONZ
10.1017_pan.2019.23,10.7910/DVN/CGNX3M
10.1017_pan.2019.24,10.7910/DVN/HG2CAJ
10.1017_pan.2019.25,10.7910/DVN/2F8CWX
10.1017_pan.2019.26,10.7910/DVN/K0OYQF
10.1017_pan.2019.28,10.7910/DVN/FYRQQE
10.1017_pan.2019.29,10.7910/DVN/1WZCEA
10.1017_pan.2019.3,10.7910/DVN/4RCPSE
10.1017_pan.2019.30,10.7910/DVN/ARHZU4
10.1017_pan.2019.31,10.7910/DVN/JLAOEN
10.1017_pan.2019.32,10.7910/DVN/LSEEKB
10.1017_pan.2019.33,10.7910/DVN/8DWAZW
10.1017_pan.2019.34,10.7910/DVN/F0GMX1
10.1017_pan.2019.35,10.7910/DVN/W9DGRR
10.1017_pan.2019.38,10.7910/DVN/IABJEB
10.1017_pan.2019.4,10.7910/DVN/YPMVMH
10.1017_pan.2019.42,10.7910/DVN/HXAKGJ
10.1017_pan.2019.43,10.7910/DVN/PRDURU
10.1017_pan.2019.44,10.7910/DVN/Y18MK5
10.1017_pan.2019.45,10.7910/DVN/YN4TLR
10.1017_pan.2019.45,10.7910/DVN/BKWGVO
10.1017_pan.2019.45,10.7910/DVN/USCMPG
10.1017_pan.2019.45,10.7910/DVN/NIPYJ8
10.1017_pan.2019.46,10.7910/DVN/MRVKIR
10.1017_pan.2019.47,10.7910/DVN/MCXXBS
10.1017_pan.2019.48,10.7910/DVN/TRLTPY
10.1017_pan.2019.49,10.7910/DVN/VJ9QDB
10.1017_pan.2019.5,10.7910/DVN/GXXYMH
10.1017_pan.2019.6,10.7910/DVN/ILZHUR
10.1017_pan.2019.7,10.7910/DVN/DFRSKZ
10.1017_pan.2019.8,10.7910/DVN/CU0V56
10.1017_pan.2019.9,10.7910/DVN/PNPR8C
10.1017_pan.2020.1,10.7910/DVN/K8IL3V
10.1017_pan.2020.11,10.7910/DVN/TISLDL
10.1017_pan.2020.14,10.7910/DVN/TOZUDO
10.1017_pan.2020.15,10.7910/DVN/E6NN9E
10.1017_pan.2020.2,10.7910/DVN/VZFXYW
10.1017_pan.2020.20,10.7910/DVN/SV9B3E
10.1017_pan.2020.21,10.7910/DVN/STH14F
10.1017_pan.2020.22,10.7910/DVN/OP6EVF
10.1017_pan.2020.24,10.7910/DVN/FOUVEL
10.1017_pan.2020.25,10.7910/DVN/YQPEVQ
10.1017_pan.2020.26,10.7910/DVN/ADIFOV
10.1017_pan.2020.28,10.7910/DVN/G63OG9
10.1017_pan.2020.29,10.7910/DVN/CSAJQY
10.1017_pan.2020.3,10.7910/DVN/H9X2AB
10.1017_pan.2020.30,10.7910/DVN/YMQFYB
10.1017_pan.2020.31,10.7910/DVN/XIEJCR
10.1017_pan.2020.34,10.7910/DVN/BJMZNR
10.1017_pan.2020.35,10.7910/DVN/KMRVWY
10.1017_pan.2020.35,10.7910/DVN/MVP6ID
10.1017_pan.2020.4,10.7910/DVN/T88EAX
10.1017_pan.2020.47,10.7910/DVN/EACMTV
10.1017_pan.2020.8,10.7910/DVN/MXKRDE
10.1017_pan.2020.9,10.7910/DVN/FQTA4A
10.1017_psrm.2016.18,10.7910/DVN/GK9VCH
10.1017_psrm.2017.24,10.7910/DVN/AR8SLA
10.1017_psrm.2019.13,10.7910/DVN/WX5UXL
10.1017_psrm.2019.13,10.7910/DVN/SDFYTU
10.1017_psrm.2019.14,10.7910/DVN/ZTPW0Y
10.1017_psrm.2019.2,10.7910/DVN/PE8TWP
10.1017_psrm.2019.49,10.7910/DVN/X3586I
10.1017_psrm.2020.10,10.7910/DVN/G3YJXY
10.1017_psrm.2020.32,10.7910/DVN/KFVTMI
10.1017_s000305541600037x,10.7910/DVN/HAU0EX
10.1017_s0003055416000770,10.7910/DVN/C56WMI
10.1017_s0003055417000144,10.7910/DVN/QSZMPD
10.1017_s0003055417000193,10.7910/DVN/1QZ0JZ
10.1017_s0003055417000259,10.7910/DVN/MYSRXT
10.1017_s0003055417000272,10.7910/DVN/INVDWM
10.1017_s0003055417000272,10.7910/DVN/XX3YJ4
