Journal name,ISSN,eISSN,Category,Total Citations,2020 JIF,JIF Quartile,2020 JCI,% of OA Gold,
COMMON MARKET LAW REVIEW,0165-0750,1875-8320,"INTERNATIONAL RELATIONS - SSCI","1,286",3.257,"Q1",1.67,0.00%,
Cambridge Review of International Affairs,0955-7571,1474-449X,"INTERNATIONAL RELATIONS - SSCI","1,024",3.096,"Q1",1.53,11.03%,
AMERICAN JOURNAL OF INTERNATIONAL LAW,0002-9300,2161-7953,"INTERNATIONAL RELATIONS - SSCI","2,173",3.091,"Q1",1.16,0.00%,
International Peacekeeping,1353-3312,1743-906X,"INTERNATIONAL RELATIONS - SSCI","1,088",3.000,"Q1",1.26,8.74%,
INTERNATIONAL STUDIES QUARTERLY,0020-8833,1468-2478,"INTERNATIONAL RELATIONS - SSCI","5,856",2.936,"Q1",1.50,8.68%,
MILLENNIUM-JOURNAL OF INTERNATIONAL STUDIES,0305-8298,1477-9021,"INTERNATIONAL RELATIONS - SSCI","1,968",2.930,"Q2",1.18,13.24%,
International Theory,1752-9719,1752-9727,"INTERNATIONAL RELATIONS - SSCI","737",2.778,"Q2",1.41,19.57%,
TERRORISM AND POLITICAL VIOLENCE,0954-6553,1556-1836,"INTERNATIONAL RELATIONS - SSCI","2,334",2.741,"Q2",1.22,6.10%,
REVIEW OF INTERNATIONAL STUDIES,0260-2105,1469-9044,"INTERNATIONAL RELATIONS - SSCI","2,934",2.730,"Q2",1.35,14.84%,
International Studies Review,1521-9488,1468-2486,"INTERNATIONAL RELATIONS - SSCI","1,647",2.658,"Q2",1.45,11.30%,
Contemporary Security Policy,1352-3260,1743-8764,"INTERNATIONAL RELATIONS - SSCI","710",2.640,"Q2",1.55,22.89%,
Mediterranean Politics,1362-9395,1743-9418,"INTERNATIONAL RELATIONS - SSCI","683",2.588,"Q2",1.58,2.54%,
CONFLICT MANAGEMENT AND PEACE SCIENCE,0738-8942,1549-9219,"INTERNATIONAL RELATIONS - SSCI","1,496",2.563,"Q2",1.37,5.88%,
International Studies Perspectives,1528-3577,1528-3585,"INTERNATIONAL RELATIONS - SSCI","871",2.500,"Q2",1.01,5.00%,
Politics,0263-3957,1467-9256,"INTERNATIONAL RELATIONS - SSCI","1,047",2.492,"Q2",1.24,22.66%,
SECURITY STUDIES,0963-6412,1556-1852,"INTERNATIONAL RELATIONS - SSCI","1,368",2.464,"Q2",1.64,5.75%,
JOURNAL OF STRATEGIC STUDIES,0140-2390,1743-937X,"INTERNATIONAL RELATIONS - SSCI","1,103",2.440,"Q2",1.39,5.71%,
PACIFIC REVIEW,0951-2748,1470-1332,"INTERNATIONAL RELATIONS - SSCI","1,261",2.432,"Q2",2.05,1.20%,
